"1","№13/38","О признании утратившим силу Постановления МЗ РБ и МЧС РБ от 14 января 2009 года №3/6","07.03.2023","Постановление МЗ РБ и МЧС","protected/common-question/пмзимчс№13-38_2023.pdf","/index.php?common-question"
"2","№14/39","О признании утратившим силу Постановления МЗ РБ и МЧС РБ от 31 августа 2006 года №41/67","07.03.2023","Постановление МЗ РБ и МЧС","protected/common-question/пмзимчс№14-39_2023.pdf","/index.php?common-question"
"3","№267","О клинической организации здравоохранения","23.02.2023","Приказ МЗ РБ","protected/common-question/прмз№267_2023.pdf","/index.php?common-question"
"4","№240","О реорганизации учреждений","21.02.2023","Приказ МЗ РБ","protected/common-question/прмз№240_2023.pdf","/index.php?common-question"
"5","№20","Об определении составов","31.01.2023","Постановление МЗ РБ","protected/common-question/пмз№20_2023.pdf","/index.php?common-question"
"6","№98","Об утверждении стратегических документов","26.01.2023","Приказ МЗ РБ","protected/common-question/прмз№98_2023.zip","/index.php?common-question"
"7","№9","О формах и перечне форм ведомственной отчетности на 2023 год","17.01.2023","Постановление МЗ РБ","protected/common-question/пмз№9_2015.pdf","/index.php?common-question"
"8","№57","Об изменении приказов Министерства здравоохранения РБ от 16 апреля 2021 года №412 и 8 августа 2022 года №1044","16.01.2023","Приказ МЗ РБ","protected/common-question/прмз№57_2023.pdf","/index.php?common-question"
"9","№5","О признании утратившим силу постановления Министерства здравоохранения Республики Беларусь от 26 июня 2009 года № 73","11.01.2023","Постановление МЗ РБ","protected/common-question/пмз№5_2023.pdf","/index.php?common-question"
"10","№3","Об изменении приказа Министерства здравоохранения РБ от 29 марта 2004 года № 75","04.01.2023","Приказ МЗ РБ","protected/common-question/прмз№3_2023.pdf","/index.php?common-question"
"11","№49.1","О совершенствовании работы системы здравоохранения и об устранении нарушений, выявленных в рамках проверки Генеральной прокуратурой Республики Беларусь","28.12.2022","Постановление Коллегии МЗ РБ ","protected/common-question/пкмз№49.1_2022.pdf","/index.php?common-question"
"12","№1823","Об утверждении плана","20.12.2022","Приказ МЗ РБ","protected/common-question/прмз№1823_2022.pdf","/index.php?common-question"
"13","№1796","О порядке сбора информации в области защиты населения и территорий от чрезвычайных ситуаций и ее представлении","14.12.2022","Приказ МЗ РБ","protected/common-question/прмз№1796_2022.pdf","/index.php?common-question"
"14","№1777","Об утверждении плана мероприятий","13.12.2022","Приказ МЗ РБ","protected/common-question/прмз№1777_2022.pdf","/index.php?common-question"
"15","№1690","Об оценки соблюдения законодательства","01.12.2022","Приказ МЗ РБ","protected/common-question/прмз№1690_2022.pdf","/index.php?common-question"
"16","№1688","О проведении 4 этапа изучения популяционного иммунитета к  COVID-19","01.12.2022","Приказ МЗ РБ","protected/common-question/прмз№1688_2022.pdf","/index.php?common-question"
"17","№1633","О Республиканской формулярной комиссии по медицинским изделиям","22.11.2022","Приказ МЗ РБ","protected/common-question/прмз№1633_2022.pdf","/index.php?common-question"
"18","№1336","О проведении 4-го этапа исследования","04.10.2022","Приказ МЗ РБ","protected/common-question/прмз№1336_2022.pdf","/index.php?common-question"
"19","№1310","Об изменении приказа Министерства здравоохранения Республики Беларусь от 22 июня 2022 №841","29.09.2022","Приказ МЗ РБ","protected/common-question/прмз№1310_2022.pdf","/index.php?common-question"
"20","№1277","Об утверждении Инструкции о порядке разграничения нарушений","23.09.2022","Приказ МЗ РБ","protected/common-question/прмз№1277_2022.pdf","/index.php?common-question"
"21","№1225","О некоторых вопросах проведения экспертизы временной нетрудоспособности","14.09.2022","Приказ МЗ РБ","/protected/common-question/прмз№1225_2022.pdf","/index.php?common-question"
"22","№1153","Об орфанных (редких) заболеваниях и лекарственных препаратах","02.09.2022","Приказ МЗ РБ","/protected/common-question/прмз№1153_2022.pdf","/index.php?common-question"
"23","№1124","О порядке работы организаций здравоохранения в условиях  COVID-19","30.08.2022","Приказ МЗ РБ","/protected/common-question/прмз№1124_2022.pdf","/index.php?common-question"
"24","№1100","О порядке оказания медицинской помощи в межрайонном центре","24.08.2022","Приказ МЗ РБ","/protected/common-question/прмз№1100_2022.pdf","/index.php?common-question"
"25","№1044","О порядке проведения вакцинации против COVID-19","08.08.2022","Приказ МЗ РБ","/protected/common-question/прмз№1044_2022.pdf","/index.php?common-question"
"26","№859","Об учете случаев  COVID-19","27.06.2022","Приказ МЗ РБ","/protected/common-question/прмз№859_2022.pdf","/index.php?common-question"
"27","№798","О бланках строгой отчетности (бланках документов с определенной степенью защиты)","15.06.2022","Приказ МЗ РБ","/protected/common-question/прмз№798_2022.pdf","/index.php?common-question"
"28","№ 684","Об утверждении структуры отраслевой системы организации и проведения контроля качества и безопасности медицинской деятельности","20.05.2022","Приказ МЗ РБ","/protected/common-question/прмз№684_2022.pdf","/index.php?common-question"
"29","№ 671","О реализации пилотного проекта по внедрению методов оценки качества и безопасности медицинской деятельности","19.05.2022","Приказ МЗ РБ","/protected/common-question/прмз№671_2022.pdf","/index.php?common-question"
"30","№ 482","О внесении изменений в приказ Министерства здравоохранения Республики Беларусь от 24 июля 2020 года № 775","13.04.2022","Приказ МЗ РБ","/protected/common-question/прмз№482_2022.pdf","/index.php?common-question"
"31","№ 466","О внесении изменений в приказ министерства здравоохранения Республики Беларусь  от 24 июля 2020 года № 775","08.04.2022","Приказ МЗ РБ","/protected/common-question/прмз№466_2022.pdf","/index.php?common-question"
"32","№ 464","Об изменении приказов Министерства здравоохранения Республики Беларусь от 14.06.2021 № 704 и  от 15.06.2021 № 708","08.04.2022","Приказ МЗ РБ","protected/common-question/прмз№464_2022.pdf","/index.php?common-question"
"33","№ 402","Об утверждении Положения о системе обеспечения пожарной безопасности","25.03.2022","Приказ МЗ РБ","/protected/common-question/прмз№402_2022.pdf","/index.php?common-question"
"34","№ 364","Об утверждении положения о Республиканской формулярной комиссии","22.03.2022","Приказ МЗ РБ","/protected/common-question/прмз№364_2022.pdf","/index.php?common-question"
"35","№ 9.1","Об итогах работы органов и организаций здравоохранения в 2021 году и основных направлениях деятельности на 2022 год","03.03.2022","Постановление Коллегии МЗ РБ","/protected/common-question/пкмз№9.1_2022.pdf","/index.php?common-question"
"36","№ 33","Об утверждении и введении в действие изменения в технический кодекс установившейся практики","15.04.2022","Постановление МЗ РБ","/protected/common-question/пмз№33_2022.pdf","/index.php?common-question"
"37","№ 317","Об утверждении форм медицинских документов при осуществлении медико-социальной экспертизы","12.03.2022","Приказ МЗ РБ","/protected/common-question/прмз№317_2022.pdf","/index.php?common-question"
"38","№ 298","О проведении лабораторных исследований на инфекцию, вызванную коронавирусом  COVID-19","04.03.2022","Приказ МЗ РБ","/protected/common-question/прмз№298_2022.pdf","/index.php?common-question"
"39","№ 272","Об организации Республиканского центра патологии гемостаза, областных кабинетов патологии гемостаза","01.03.2022","Приказ МЗ РБ","/protected/common-question/прмз№272_2022.pdf","/index.php?common-question"
"40","№ 205","Об утверждении Плана","17.02.2022","Приказ МЗ РБ","/protected/common-question/прмз№205_2022.pdf","/index.php?common-question"
"41","№ 155","О порядке внесения сведений в единую автоматизированную информационную систему учета лиц, вакцинированных против  COVID-19","08.02.2022","Приказ МЗ РБ","protected/common-question/прмз№155_2022.pdf","/index.php?common-question"
"42","№ 113","О некоторых вопросах проведения экспертизы временной нетрудоспособности","01.02.2022","Приказ МЗ РБ","protected/common-question/прмз№113_2022.pdf","/index.php?common-question"
"43","№ 36","Об утверждении рекомендаций  (временных) об особенностях оказания медицинской помощи пациентам в возрасте до 18 лет с инфекцией  COVID-19","14.01.2022","Приказ МЗ РБ","protected/common-question/прмз№36_2022.pdf","/index.php?common-question"
"44","№ 1716","Об утверждении перечня заключений врачебно-консультационных комиссий, выдаваемых организациями здравоохранения","31.12.2021","Приказ МЗ РБ","protected/common-question/прмз№1716_2021.pdf","/index.php?common-question"
"45","№ 1636","Об организации работы специалистов координаторов по борьбе с инфекцией  COVID-19","23.12.2021","Приказ МЗ РБ","protected/common-question/прмз№1636_2021 (2).pdf","/index.php?common-question"
"46","№ 48.1","О выполнении коллегии Министерства здравоохранения по итогам 2021 года","28.12.2021","Постановление Коллегии МЗ РБ","protected/common-question/пкмз№48.1_2021.pdf","/index.php?common-question"
"47","№ 1615","О проведении вакцинации детей против инфекции  COVID-19","20.12.2021","Приказ МЗ РБ","protected/common-question/прмз№1615_2021.pdf","/index.php?common-question"
"48","№ 1549","Об утверждении перечня лабораторий","07.12.2021","Приказ МЗ РБ","protected/common-question/прмз№1549_2021 (1).pdf","/index.php?common-question"
"49","№ 1546","О составлении сводных годовых статистических отчетов за 2021 год","07.12.2021","Приказ МЗ РБ","protected/common-question/прмз№1546_2021.pdf","/index.php?common-question"
"50","№ 123","О признании утратившим силу постановления Министерства здравоохранения РБ от 16 мая 2003 года № 24","26.11.2021","Постановление  МЗ РБ","protected/common-question/пмз№123_2021.pdf","/index.php?common-question"
"51","№ 45.2","Об организации лекарственного обеспечения организаций здравоохранения и населения и контроле за обращением лекарственных средств в Республике Беларусь","24.11.2021","Постановление Коллегии МЗ РБ","protected/common-question/пкмз№45.2_2021.pdf","/index.php?common-question"
"52","№ 1352","Об утверждении перечня лабораторий","27.10.2021","Приказ МЗ РБ","protected/common-question/прмз№1352_2021.pdf","/index.php?common-question"
"53","№ 1312","Об изменении приказа Министерства здравоохранения от 14 сентября 2021 №1091","20.10.2021","Приказ МЗ РБ","protected/common-question/прмз№1312_2021.pdf","/index.php?common-question"
"54","№ 1271","О диагностике туберкулеза у пациентов с  инфекцией  COVID-19","14.10.2021","Приказ МЗ РБ","protected/common-question/прмз№1271_2021.pdf","/index.php?common-question"
"55","№ 1257","О проведении вакцинации против  инфекции  COVID-19 женщин во время беременности и в период грудного вскармливания","12.10.2021","Приказ МЗ РБ","protected/common-question/прмз№1257_2021.pdf","/index.php?common-question"
"56","№ 38.3","О возобновлении действия регистрационного удостоверения на Кислород газообразный медицинский","06.10.2021","Постановление Коллегии МЗ РБ","protected/common-question/пкмз№38.3_2021.pdf","/index.php?common-question"
"57","№ 37.4","Об утверждении перечня лекарственных препаратов, для закупки которых требуется разработка требования заявки на закупку на 2022 год","29.09.2021","Постановление  Коллегии МЗ РБ","protected/common-question/пкмз№37.4_2021.pdf","/index.php?common-question"
